condominio,quartos,suites,vagas,area,bairro,preco,pm2
700,2,1.0,1.0,75,Botafogo,770000,10266.67
860,2,2.0,1.0,76,Botafogo,1050000,13815.79
990,2,1.0,2.0,66,Botafogo,920000,13939.39
520,2,1.0,1.0,75,Botafogo,519000,6920.0
860,2,1.0,1.0,76,Botafogo,980000,12894.74
790,2,1.0,1.0,69,Botafogo,950000,13768.12
1000,2,1.0,1.0,88,Botafogo,995000,11306.82
750,2,1.0,1.0,90,Botafogo,1250000,13888.89
550,2,1.0,1.0,62,Botafogo,675000,10887.1
1100,2,1.0,2.0,84,Botafogo,940000,11190.48
745,2,1.0,1.0,82,Botafogo,879000,10719.51
1400,2,1.0,1.0,75,Botafogo,1300000,17333.33
970,2,1.0,1.0,75,Botafogo,980000,13066.67
1800,2,1.0,1.0,90,Botafogo,1130000,12555.56
968,2,1.0,1.0,80,Botafogo,799000,9987.5
900,2,1.0,1.0,90,Botafogo,980000,10888.89
830,2,1.0,1.0,93,Botafogo,1150000,12365.59
665,2,1.0,1.0,68,Botafogo,885000,13014.71
450,2,1.0,1.0,117,Botafogo,800000,6837.61
720,2,1.0,1.0,85,Botafogo,705000,8294.12
450,2,1.0,1.0,75,Botafogo,810000,10800.0
960,2,1.0,1.0,87,Botafogo,950000,10919.54
450,2,1.0,1.0,68,Botafogo,450000,6617.65
1942,3,1.0,2.0,129,Botafogo,1659000,12860.47
1200,3,1.0,1.0,120,Botafogo,1100000,9166.67
890,3,1.0,2.0,109,Botafogo,950000,8715.6
1400,3,1.0,1.0,94,Botafogo,950000,10106.38
1580,3,1.0,1.0,215,Botafogo,1890000,8790.7
1670,3,1.0,2.0,114,Botafogo,1900000,16666.67
1500,3,1.0,2.0,114,Botafogo,1600000,14035.09
1335,3,1.0,1.0,130,Botafogo,1300000,10000.0
700,3,1.0,1.0,89,Botafogo,850000,9550.56
1350,3,1.0,2.0,135,Botafogo,1625000,12037.04
1000,3,1.0,1.0,83,Botafogo,900000,10843.37
1700,3,1.0,1.0,113,Botafogo,1400000,12389.38
980,3,1.0,1.0,100,Botafogo,950000,9500.0
700,3,1.0,1.0,96,Botafogo,1200000,12500.0
1350,3,1.0,2.0,104,Botafogo,1750000,16826.92
1000,3,1.0,1.0,99,Botafogo,1340000,13535.35
1206,3,1.0,2.0,104,Botafogo,1650000,15865.38
1206,3,1.0,2.0,107,Botafogo,1750000,16355.14
750,3,1.0,1.0,115,Botafogo,1100000,9565.22
1400,3,1.0,2.0,103,Botafogo,1700000,16504.85
1000,3,1.0,1.0,83,Botafogo,900000,10843.37
500,3,1.0,1.0,103,Botafogo,990000,9611.65
1260,3,1.0,2.0,115,Botafogo,1650000,14347.83
1000,3,1.0,1.0,78,Botafogo,1128000,14461.54
3900,3,3.0,3.0,220,Botafogo,3880000,17636.36
750,3,1.0,1.0,86,Botafogo,720000,8372.09
1029,3,1.0,1.0,88,Botafogo,1150000,13068.18
1200,3,1.0,1.0,97,Botafogo,1800000,18556.7
1300,3,1.0,1.0,120,Botafogo,980000,8166.67
760,3,1.0,1.0,90,Botafogo,750000,8333.33
1400,3,1.0,2.0,100,Botafogo,1530000,15300.0
1380,3,1.0,1.0,94,Botafogo,880000,9361.7
200,3,1.0,1.0,109,Botafogo,798000,7321.1
700,3,1.0,2.0,97,Botafogo,1270000,13092.78
1400,3,1.0,1.0,140,Botafogo,2500000,17857.14
1600,3,3.0,2.0,126,Botafogo,1600000,12698.41
500,3,1.0,1.0,112,Botafogo,1270000,11339.29
1500,3,1.0,1.0,110,Botafogo,1550000,14090.91
1000,3,1.0,2.0,110,Botafogo,1450000,13181.82
1000,3,1.0,1.0,120,Botafogo,1100000,9166.67
1133,3,1.0,1.0,122,Botafogo,1820000,14918.03
840,3,1.0,2.0,105,Botafogo,1594389,15184.66
1400,3,2.0,1.0,90,Botafogo,1380000,15333.33
500,1,1.0,1.0,22,Copacabana,265000,12045.45
700,1,1.0,1.0,60,Copacabana,600000,10000.0
590,1,0.0,1.0,37,Copacabana,560000,15135.14
450,1,0.0,1.0,40,Copacabana,550000,13750.0
450,1,1.0,1.0,40,Copacabana,640000,16000.0
650,1,0.0,1.0,45,Copacabana,560000,12444.44
650,1,0.0,1.0,60,Copacabana,650000,10833.33
470,1,0.0,1.0,34,Copacabana,380000,11176.47
390,1,1.0,1.0,31,Copacabana,515000,16612.9
550,1,0.0,1.0,42,Copacabana,500000,11904.76
365,1,0.0,1.0,40,Copacabana,390000,9750.0
520,1,1.0,1.0,25,Copacabana,270000,10800.0
400,1,0.0,1.0,42,Copacabana,450000,10714.29
430,1,0.0,1.0,55,Copacabana,590000,10727.27
550,1,0.0,1.0,48,Copacabana,570000,11875.0
739,1,0.0,1.0,60,Copacabana,590000,9833.33
540,1,1.0,1.0,35,Copacabana,470000,13428.57
1500,1,1.0,1.0,35,Copacabana,895000,25571.43
400,1,1.0,1.0,45,Copacabana,550000,12222.22
550,1,1.0,1.0,48,Copacabana,630000,13125.0
512,1,0.0,1.0,28,Copacabana,399000,14250.0
472,1,1.0,1.0,55,Copacabana,570000,10363.64
660,1,1.0,1.0,50,Copacabana,629000,12580.0
650,1,0.0,1.0,48,Copacabana,520000,10833.33
450,1,1.0,1.0,48,Copacabana,480000,10000.0
705,1,1.0,1.0,65,Copacabana,590000,9076.92
560,1,1.0,1.0,39,Copacabana,450000,11538.46
350,1,1.0,1.0,40,Copacabana,390000,9750.0
490,1,0.0,1.0,48,Copacabana,430000,8958.33
520,1,0.0,1.0,56,Copacabana,635000,11339.29
380,1,1.0,1.0,32,Copacabana,420000,13125.0
600,1,1.0,1.0,60,Copacabana,480000,8000.0
400,1,1.0,1.0,45,Copacabana,630000,14000.0
700,2,1.0,1.0,78,Copacabana,730000,9358.97
700,2,1.0,1.0,80,Copacabana,898000,11225.0
1000,2,1.0,1.0,120,Copacabana,840000,7000.0
500,2,2.0,1.0,75,Copacabana,1680000,22400.0
800,2,1.0,1.0,78,Copacabana,790000,10128.21
1500,2,1.0,1.0,150,Copacabana,1300000,8666.67
821,2,1.0,1.0,75,Copacabana,1190000,15866.67
600,2,1.0,1.0,53,Copacabana,810000,15283.02
650,2,1.0,2.0,80,Copacabana,820000,10250.0
950,2,1.0,1.0,95,Copacabana,1280000,13473.68
1500,2,2.0,1.0,195,Copacabana,1300000,6666.67
700,2,1.0,1.0,80,Copacabana,710000,8875.0
650,2,1.0,1.0,82,Copacabana,950000,11585.37
945,2,2.0,1.0,71,Copacabana,950000,13380.28
650,2,1.0,2.0,80,Copacabana,900000,11250.0
525,2,2.0,1.0,79,Copacabana,760000,9620.25
740,2,1.0,1.0,75,Copacabana,776000,10346.67
693,2,1.0,1.0,65,Copacabana,580000,8923.08
600,2,1.0,1.0,68,Copacabana,679000,9985.29
550,2,1.0,1.0,47,Copacabana,550000,11702.13
850,2,1.0,1.0,79,Copacabana,1099000,13911.39
700,2,1.0,1.0,70,Copacabana,790000,11285.71
735,2,1.0,1.0,75,Copacabana,1150000,15333.33
1100,2,1.0,1.0,100,Copacabana,1582000,15820.0
1275,2,2.0,1.0,60,Copacabana,1200000,20000.0
1000,2,1.0,2.0,85,Copacabana,1600000,18823.53
2200,2,2.0,1.0,209,Copacabana,1500000,7177.03
760,2,1.0,1.0,90,Copacabana,840000,9333.33
900,2,1.0,1.0,75,Copacabana,700000,9333.33
1800,2,1.0,1.0,194,Copacabana,2000000,10309.28
1000,2,1.0,1.0,80,Copacabana,1000000,12500.0
605,2,1.0,1.0,65,Copacabana,735000,11307.69
820,2,1.0,1.0,83,Copacabana,990000,11927.71
2000,2,2.0,1.0,72,Copacabana,740000,10277.78
440,2,1.0,1.0,85,Copacabana,725000,8529.41
600,2,1.0,1.0,80,Copacabana,750000,9375.0
1600,3,1.0,1.0,220,Copacabana,2190000,9954.55
1300,3,1.0,1.0,168,Copacabana,1250000,7440.48
924,3,1.0,1.0,120,Copacabana,1030000,8583.33
1200,3,1.0,1.0,200,Copacabana,1650000,8250.0
680,3,1.0,1.0,125,Copacabana,1050000,8400.0
800,3,1.0,1.0,120,Copacabana,1100000,9166.67
2200,3,1.0,1.0,280,Copacabana,2800000,10000.0
930,3,1.0,1.0,110,Copacabana,1200000,10909.09
1980,3,2.0,1.0,210,Copacabana,1680000,8000.0
1290,3,1.0,1.0,155,Copacabana,2600000,16774.19
500,3,1.0,1.0,190,Copacabana,1240000,6526.32
1598,3,1.0,1.0,170,Copacabana,2350000,13823.53
1939,3,1.0,1.0,230,Copacabana,3990000,17347.83
1200,3,1.0,1.0,240,Copacabana,2200000,9166.67
2600,3,2.0,2.0,200,Copacabana,2390000,11950.0
1309,3,1.0,1.0,102,Copacabana,1000000,9803.92
1025,3,1.0,1.0,98,Copacabana,1099999,11224.48
1700,3,1.0,2.0,280,Copacabana,3400000,12142.86
3600,3,1.0,2.0,300,Copacabana,5280000,17600.0
1500,3,1.0,1.0,340,Copacabana,3850000,11323.53
860,3,1.0,1.0,100,Copacabana,1050000,10500.0
3200,3,1.0,1.0,280,Copacabana,2000000,7142.86
1600,3,1.0,1.0,280,Copacabana,4200000,15000.0
1290,3,1.0,1.0,150,Copacabana,1550000,10333.33
1300,3,2.0,1.0,100,Copacabana,1080000,10800.0
1018,3,1.0,1.0,108,Copacabana,980000,9074.07
1200,3,1.0,1.0,107,Copacabana,950000,8878.5
900,3,1.0,1.0,110,Copacabana,1100000,10000.0
800,3,1.0,1.0,92,Copacabana,900000,9782.61
404,3,1.0,1.0,114,Copacabana,1200000,10526.32
1084,3,1.0,1.0,100,Copacabana,1150000,11500.0
1640,3,1.0,1.0,195,Copacabana,1600000,8205.13
1500,3,1.0,1.0,152,Copacabana,1349000,8875.0
760,3,1.0,1.0,150,Copacabana,1600000,10666.67
980,3,0.0,1.0,85,Copacabana,980000,11529.41
1230,3,1.0,1.0,95,Copacabana,1290000,13578.95
800,3,1.0,1.0,75,Copacabana,950000,12666.67
2950,3,2.0,2.0,160,Copacabana,3000000,18750.0
800,3,1.0,1.0,110,Copacabana,650000,5909.09
2400,3,1.0,1.0,188,Copacabana,3900000,20744.68
798,3,1.0,1.0,110,Copacabana,950000,8636.36
805,3,1.0,2.0,83,Copacabana,750000,9036.14
1000,3,1.0,4.0,175,Copacabana,1890000,10800.0
1420,3,1.0,1.0,120,Copacabana,1900000,15833.33
2000,3,2.0,1.0,220,Copacabana,2500000,11363.64
400,1,0.0,0.0,40,Gávea,750000,18750.0
350,1,0.0,1.0,37,Gávea,590000,15945.95
775,1,1.0,1.0,50,Gávea,1080000,21600.0
290,1,1.0,1.0,36,Gávea,840000,23333.33
750,1,1.0,1.0,35,Gávea,470000,13428.57
700,1,1.0,1.0,58,Gávea,950000,16379.31
785,1,1.0,1.0,50,Gávea,950000,19000.0
646,1,0.0,1.0,61,Gávea,950000,15573.77
550,1,0.0,1.0,54,Gávea,700000,12962.96
800,1,0.0,1.0,56,Gávea,850000,15178.57
700,1,1.0,1.0,55,Gávea,620000,11272.73
400,1,1.0,1.0,37,Gávea,480000,12972.97
500,1,1.0,1.0,40,Gávea,620000,15500.0
530,1,0.0,1.0,60,Gávea,950000,15833.33
400,1,0.0,1.0,40,Gávea,750000,18750.0
500,1,0.0,1.0,45,Gávea,600000,13333.33
600,1,1.0,1.0,38,Gávea,650000,17105.26
700,1,0.0,1.0,58,Gávea,850000,14655.17
900,1,1.0,1.0,65,Gávea,880000,13538.46
950,2,1.0,1.0,110,Gávea,1700000,15454.55
1184,2,2.0,2.0,142,Gávea,1950000,13732.39
1200,2,1.0,1.0,74,Gávea,1830000,24729.73
800,2,1.0,1.0,58,Gávea,1365000,23534.48
937,2,1.0,1.0,80,Gávea,1400000,17500.0
815,2,1.0,1.0,95,Gávea,1800000,18947.37
814,2,1.0,1.0,82,Gávea,1260000,15365.85
260,2,1.0,1.0,60,Gávea,750000,12500.0
980,2,1.0,1.0,95,Gávea,1590000,16736.84
2500,2,2.0,2.0,160,Gávea,2450000,15312.5
1500,2,1.0,1.0,85,Gávea,1250000,14705.88
1250,2,1.0,1.0,90,Gávea,1789000,19877.78
1250,2,2.0,1.0,110,Gávea,1300000,11818.18
1200,2,1.0,1.0,75,Gávea,1590000,21200.0
950,2,1.0,1.0,78,Gávea,1250000,16025.64
987,2,1.0,1.0,78,Gávea,1250000,16025.64
987,2,1.0,1.0,80,Gávea,1388000,17350.0
900,2,1.0,1.0,60,Gávea,1250000,20833.33
1200,2,1.0,1.0,120,Gávea,2000000,16666.67
977,2,1.0,1.0,88,Gávea,1585000,18011.36
500,2,1.0,1.0,75,Gávea,980000,13066.67
880,2,1.0,1.0,80,Gávea,1650000,20625.0
850,2,1.0,1.0,97,Gávea,1000000,10309.28
750,2,1.0,1.0,70,Gávea,1280000,18285.71
1140,2,1.0,1.0,85,Gávea,1350000,15882.35
550,2,1.0,1.0,72,Gávea,970000,13472.22
800,2,1.0,1.0,89,Gávea,980000,11011.24
500,2,1.0,1.0,60,Gávea,800000,13333.33
900,2,1.0,1.0,75,Gávea,980000,13066.67
1000,3,1.0,2.0,110,Gávea,2250000,20454.55
1500,3,1.0,2.0,115,Gávea,2500000,21739.13
1300,3,1.0,1.0,103,Gávea,1500000,14563.11
1600,3,1.0,1.0,130,Gávea,1750000,13461.54
1400,3,1.0,1.0,92,Gávea,1650000,17934.78
1450,3,1.0,2.0,139,Gávea,2200000,15827.34
1456,3,1.0,2.0,110,Gávea,3000000,27272.73
1600,3,1.0,1.0,125,Gávea,1760000,14080.0
1600,3,1.0,1.0,125,Gávea,1850000,14800.0
1250,3,1.0,1.0,102,Gávea,1890000,18529.41
1600,3,1.0,1.0,120,Gávea,1800000,15000.0
1450,3,1.0,2.0,140,Gávea,2200000,15714.29
950,3,1.0,1.0,120,Gávea,2100000,17500.0
1115,3,1.0,2.0,103,Gávea,2205000,21407.77
1200,3,1.0,2.0,123,Gávea,2625000,21341.46
1250,3,1.0,2.0,113,Gávea,1990000,17610.62
680,3,1.0,2.0,110,Gávea,2200000,20000.0
1400,3,1.0,1.0,100,Gávea,1950000,19500.0
1350,3,1.0,1.0,94,Gávea,1650000,17553.19
1769,3,1.0,1.0,117,Gávea,2150000,18376.07
1000,3,0.0,1.0,85,Gávea,1149000,13517.65
1480,3,1.0,1.0,109,Gávea,2200000,20183.49
1250,3,1.0,2.0,113,Gávea,1990000,17610.62
550,1,1.0,1.0,65,Grajaú,178000,2738.46
350,1,1.0,1.0,55,Grajaú,350000,6363.64
330,1,1.0,1.0,52,Grajaú,345000,6634.62
560,1,1.0,1.0,59,Grajaú,280000,4745.76
590,1,1.0,1.0,60,Grajaú,340000,5666.67
570,1,1.0,1.0,52,Grajaú,370000,7115.38
230,1,1.0,1.0,35,Grajaú,285000,8142.86
370,1,1.0,1.0,61,Grajaú,380000,6229.51
380,1,1.0,1.0,55,Grajaú,325000,5909.09
580,1,0.0,1.0,55,Grajaú,300000,5454.55
620,1,1.0,1.0,60,Grajaú,320000,5333.33
345,1,1.0,1.0,49,Grajaú,294000,6000.0
400,1,1.0,1.0,35,Grajaú,219000,6257.14
485,1,1.0,1.0,50,Grajaú,400000,8000.0
470,1,1.0,1.0,53,Grajaú,300000,5660.38
600,1,1.0,1.0,52,Grajaú,370000,7115.38
500,1,1.0,1.0,53,Grajaú,454500,8575.47
550,1,1.0,1.0,60,Grajaú,430000,7166.67
468,1,1.0,1.0,50,Grajaú,435000,8700.0
450,2,1.0,1.0,71,Grajaú,370000,5211.27
1140,2,1.0,1.0,77,Grajaú,470000,6103.9
389,2,1.0,1.0,45,Grajaú,350000,7777.78
661,2,1.0,1.0,75,Grajaú,450000,6000.0
250,2,1.0,1.0,102,Grajaú,480000,4705.88
600,2,1.0,1.0,75,Grajaú,370000,4933.33
650,2,1.0,1.0,78,Grajaú,590000,7564.1
500,2,1.0,1.0,75,Grajaú,465000,6200.0
600,2,1.0,1.0,70,Grajaú,395000,5642.86
710,2,1.0,1.0,76,Grajaú,600000,7894.74
669,2,1.0,1.0,70,Grajaú,550000,7857.14
680,2,1.0,1.0,77,Grajaú,580000,7532.47
680,2,1.0,1.0,65,Grajaú,390000,6000.0
730,2,1.0,1.0,61,Grajaú,350000,5737.7
640,2,1.0,1.0,70,Grajaú,435000,6214.29
300,2,1.0,1.0,100,Grajaú,354000,3540.0
300,2,1.0,1.0,50,Grajaú,399000,7980.0
600,2,1.0,1.0,75,Grajaú,400000,5333.33
880,2,1.0,1.0,85,Grajaú,770000,9058.82
690,2,1.0,1.0,80,Grajaú,499000,6237.5
650,2,1.0,1.0,63,Grajaú,590000,9365.08
750,2,1.0,1.0,98,Grajaú,460000,4693.88
550,2,1.0,1.0,73,Grajaú,380000,5205.48
560,2,1.0,1.0,66,Grajaú,380000,5757.58
200,2,1.0,1.0,108,Grajaú,380000,3518.52
520,2,1.0,1.0,65,Grajaú,415000,6384.62
500,2,1.0,1.0,60,Grajaú,475700,7928.33
250,2,1.0,0.0,66,Grajaú,250000,3787.88
800,2,1.0,1.0,67,Grajaú,450000,6716.42
1206,2,1.0,1.0,77,Grajaú,450000,5844.16
250,2,1.0,1.0,60,Grajaú,305000,5083.33
500,2,2.0,1.0,70,Grajaú,599000,8557.14
400,2,1.0,1.0,54,Grajaú,450000,8333.33
514,2,1.0,1.0,65,Grajaú,430000,6615.38
733,2,1.0,1.0,78,Grajaú,580000,7435.9
428,2,1.0,1.0,86,Grajaú,248000,2883.72
740,3,1.0,1.0,80,Grajaú,440000,5500.0
390,3,1.0,1.0,77,Grajaú,360000,4675.32
1270,3,1.0,2.0,140,Grajaú,900000,6428.57
930,3,1.0,2.0,150,Grajaú,894000,5960.0
790,3,1.0,1.0,89,Grajaú,760000,8539.33
300,3,1.0,1.0,84,Grajaú,395000,4702.38
400,3,1.0,1.0,88,Grajaú,420000,4772.73
150,3,1.0,1.0,101,Grajaú,600000,5940.59
866,3,1.0,2.0,93,Grajaú,750000,8064.52
1150,3,1.0,1.0,115,Grajaú,770000,6695.65
500,3,1.0,2.0,170,Grajaú,690000,4058.82
890,3,1.0,2.0,130,Grajaú,560000,4307.69
830,3,1.0,2.0,70,Grajaú,540000,7714.29
200,3,1.0,1.0,80,Grajaú,450000,5625.0
792,3,1.0,1.0,94,Grajaú,630000,6702.13
550,3,1.0,1.0,86,Grajaú,695000,8081.4
890,3,1.0,2.0,125,Grajaú,680000,5440.0
550,3,1.0,1.0,85,Grajaú,348000,4094.12
700,3,1.0,1.0,90,Grajaú,669000,7433.33
1113,3,1.0,2.0,120,Grajaú,749000,6241.67
890,3,1.0,2.0,130,Grajaú,700000,5384.62
780,3,1.0,1.0,89,Grajaú,530000,5955.06
400,3,1.0,1.0,114,Grajaú,650000,5701.75
560,3,0.0,0.0,93,Grajaú,370000,3978.49
200,3,1.0,1.0,110,Grajaú,580000,5272.73
620,3,1.0,1.0,130,Grajaú,650000,5000.0
400,1,1.0,1.0,25,Ipanema,520000,20800.0
556,1,1.0,1.0,35,Ipanema,880000,25142.86
500,1,1.0,1.0,35,Ipanema,905000,25857.14
1200,1,1.0,1.0,81,Ipanema,1999000,24679.01
520,1,1.0,1.0,40,Ipanema,840000,21000.0
1400,1,1.0,1.0,56,Ipanema,1080000,19285.71
460,1,1.0,1.0,39,Ipanema,1800000,46153.85
620,1,1.0,2.0,75,Ipanema,1600000,21333.33
600,1,0.0,0.0,30,Ipanema,499000,16633.33
500,1,1.0,1.0,52,Ipanema,620000,11923.08
700,1,1.0,1.0,50,Ipanema,700000,14000.0
1518,1,1.0,1.0,65,Ipanema,1300000,20000.0
600,1,1.0,1.0,55,Ipanema,1300000,23636.36
800,1,1.0,1.0,55,Ipanema,1000000,18181.82
650,1,1.0,1.0,60,Ipanema,950000,15833.33
400,1,1.0,1.0,32,Ipanema,950000,29687.5
400,1,1.0,1.0,30,Ipanema,870000,29000.0
650,1,1.0,1.0,50,Ipanema,779000,15580.0
700,1,1.0,1.0,25,Ipanema,735000,29400.0
500,1,1.0,1.0,30,Ipanema,699990,23333.0
550,1,1.0,1.0,36,Ipanema,649000,18027.78
1800,1,1.0,1.0,50,Ipanema,1350000,27000.0
714,1,1.0,1.0,40,Ipanema,700000,17500.0
800,2,1.0,1.0,100,Ipanema,1450000,14500.0
1642,2,1.0,1.0,93,Ipanema,1700000,18279.57
3570,2,2.0,1.0,90,Ipanema,2729000,30322.22
790,2,1.0,1.0,75,Ipanema,1350000,18000.0
800,2,1.0,1.0,115,Ipanema,1650000,14347.83
1090,2,1.0,1.0,60,Ipanema,1050000,17500.0
850,2,1.0,1.0,80,Ipanema,1300000,16250.0
606,2,1.0,1.0,66,Ipanema,1200000,18181.82
472,2,1.0,1.0,70,Ipanema,820000,11714.29
1885,2,1.0,2.0,147,Ipanema,3950000,26870.75
900,2,1.0,1.0,80,Ipanema,1560000,19500.0
452,2,1.0,1.0,90,Ipanema,1380000,15333.33
800,2,1.0,2.0,82,Ipanema,1100000,13414.63
4059,2,2.0,1.0,86,Ipanema,4200000,48837.21
735,2,1.0,1.0,70,Ipanema,890000,12714.29
700,2,1.0,1.0,70,Ipanema,900000,12857.14
800,2,1.0,1.0,75,Ipanema,1150000,15333.33
4190,2,1.0,1.0,110,Ipanema,5300000,48181.82
814,2,1.0,1.0,82,Ipanema,1500000,18292.68
1300,2,1.0,1.0,130,Ipanema,1390000,10692.31
700,2,1.0,1.0,78,Ipanema,1100000,14102.56
430,2,1.0,1.0,76,Ipanema,840000,11052.63
850,2,1.0,2.0,83,Ipanema,1900000,22891.57
900,2,1.0,1.0,70,Ipanema,1350000,19285.71
1007,2,1.0,1.0,68,Ipanema,1280000,18823.53
1200,2,1.0,1.0,60,Ipanema,1300000,21666.67
1500,2,1.0,1.0,61,Ipanema,950000,15573.77
555,2,1.0,1.0,76,Ipanema,1250000,16447.37
978,2,1.0,1.0,60,Ipanema,1180000,19666.67
1050,3,1.0,1.0,134,Ipanema,950000,7089.55
3300,3,1.0,3.0,325,Ipanema,9000000,27692.31
990,3,1.0,1.0,110,Ipanema,1580000,14363.64
1450,3,3.0,1.0,120,Ipanema,1700000,14166.67
1530,3,1.0,1.0,200,Ipanema,2300000,11500.0
2500,3,3.0,1.0,280,Ipanema,7400000,26428.57
2350,3,2.0,1.0,205,Ipanema,3699000,18043.9
1310,3,3.0,1.0,172,Ipanema,5900000,34302.33
1500,3,1.0,1.0,124,Ipanema,2500000,20161.29
2480,3,1.0,2.0,160,Ipanema,3350000,20937.5
1215,3,1.0,1.0,105,Ipanema,1050000,10000.0
1700,3,1.0,1.0,130,Ipanema,2400000,18461.54
4600,3,1.0,2.0,350,Ipanema,13600000,38857.14
1300,3,1.0,1.0,100,Ipanema,1850000,18500.0
2100,3,1.0,2.0,165,Ipanema,3450000,20909.09
1600,3,1.0,1.0,110,Ipanema,1850000,16818.18
994,3,3.0,1.0,138,Ipanema,1500000,10869.57
1400,3,1.0,2.0,140,Ipanema,1730000,12357.14
2988,3,2.0,3.0,180,Ipanema,3600000,20000.0
1600,3,1.0,1.0,201,Ipanema,2275000,11318.41
2800,3,2.0,1.0,186,Ipanema,5200000,27956.99
1204,3,1.0,1.0,123,Ipanema,1580000,12845.53
2000,3,1.0,1.0,130,Ipanema,2900000,22307.69
1517,3,3.0,1.0,110,Ipanema,1890000,17181.82
550,3,1.0,1.0,33,Ipanema,870000,26363.64
1700,3,1.0,1.0,110,Ipanema,2380000,21636.36
1450,3,1.0,1.0,110,Ipanema,1900000,17272.73
1000,3,3.0,2.0,120,Ipanema,1600000,13333.33
5461,3,3.0,4.0,475,Ipanema,8900000,18736.84
3090,3,1.0,2.0,180,Ipanema,2790000,15500.0
1925,3,1.0,2.0,140,Ipanema,2800000,20000.0
1900,3,1.0,1.0,130,Ipanema,2300000,17692.31
500,3,1.0,1.0,109,Ipanema,2100000,19266.06
900,3,1.0,1.0,130,Ipanema,1680000,12923.08
1600,3,1.0,1.0,150,Ipanema,2800000,18666.67
2600,3,2.0,1.0,140,Ipanema,3200000,22857.14
1300,3,1.0,1.0,120,Ipanema,2500000,20833.33
1350,3,2.0,1.0,118,Ipanema,1780000,15084.75
2600,3,1.0,2.0,150,Ipanema,3700000,24666.67
1500,3,1.0,1.0,144,Ipanema,2380000,16527.78
2013,3,3.0,1.0,130,Ipanema,2350000,18076.92
1100,3,1.0,1.0,109,Ipanema,1345000,12339.45
600,1,1.0,0.0,90,Leblon,1350000,15000.0
650,1,1.0,1.0,45,Leblon,1299000,28866.67
1000,1,1.0,1.0,60,Leblon,895000,14916.67
1600,1,1.0,1.0,44,Leblon,1250000,28409.09
550,1,1.0,1.0,41,Leblon,935000,22804.88
600,1,1.0,1.0,22,Leblon,230000,10454.55
618,1,1.0,1.0,45,Leblon,850000,18888.89
850,1,1.0,1.0,43,Leblon,1300000,30232.56
1860,1,1.0,1.0,50,Leblon,1100000,22000.0
525,1,0.0,0.0,38,Leblon,545000,14342.11
1850,1,1.0,1.0,35,Leblon,1350000,38571.43
2000,1,1.0,1.0,55,Leblon,1500000,27272.73
552,1,1.0,0.0,27,Leblon,550000,20370.37
750,1,1.0,1.0,75,Leblon,1340000,17866.67
400,1,1.0,1.0,55,Leblon,610000,11090.91
545,1,1.0,1.0,35,Leblon,840000,24000.0
950,1,0.0,0.0,75,Leblon,1550000,20666.67
850,1,1.0,1.0,60,Leblon,2100000,35000.0
511,1,1.0,1.0,43,Leblon,990000,23023.26
1600,1,1.0,1.0,50,Leblon,1199000,23980.0
400,2,1.0,2.0,69,Leblon,290000,4202.9
